# btc	count	prob
0	6599	0.6599
0.020202	1331	0.1331
0.0399918	197	0.0197
0.0401979	361	0.0361
0.0593692	68	0.0068
0.0597815	117	0.0117
0.0599876	117	0.0117
0.0783344	33	0.0033
0.0789528	40	0.004
0.0791589	20	0.002
0.0793651	81	0.0081
0.0795712	57	0.0057
0.0968872	17	0.0017
0.0977118	13	0.0013
0.0981241	14	0.0014
0.0983302	24	0.0024
0.0985364	7	0.0007
0.0987425	37	0.0037
0.0989487	21	0.0021
0.115028	14	0.0014
0.116059	8	0.0008
0.116677	5	0.0005
0.116883	12	0.0012
0.117295	10	0.001
0.117502	13	0.0013
0.117708	8	0.0008
0.117914	23	0.0023
0.11812	3	0.0003
0.132756	6	0.0006
0.133993	11	0.0011
0.134818	1	0.0001
0.135024	4	0.0004
0.13523	2	0.0002
0.135642	4	0.0004
0.135848	5	0.0005
0.136054	1	0.0001
0.136261	10	0.001
0.136467	9	0.0009
0.136673	3	0.0003
0.136879	10	0.001
0.137085	6	0.0006
0.150072	3	0.0003
0.151515	3	0.0003
0.152546	3	0.0003
0.15337	2	0.0002
0.153577	3	0.0003
0.153783	5	0.0005
0.153989	4	0.0004
0.154195	1	0.0001
0.154401	8	0.0008
0.154607	9	0.0009
0.15502	6	0.0006
0.155226	6	0.0006
0.155432	4	0.0004
0.155638	4	0.0004
0.166976	4	0.0004
0.168625	1	0.0001
0.169862	2	0.0002
0.170068	3	0.0003
0.170686	1	0.0001
0.171099	3	0.0003
0.171305	4	0.0004
0.171717	1	0.0001
0.171923	2	0.0002
0.172129	7	0.0007
0.172336	3	0.0003
0.172542	2	0.0002
0.172954	3	0.0003
0.17316	3	0.0003
0.173572	4	0.0004
0.173985	1	0.0001
0.174191	3	0.0003
0.174397	1	0.0001
0.183467	6	0.0006
0.185323	4	0.0004
0.186766	2	0.0002
0.186972	4	0.0004
0.187796	1	0.0001
0.188209	1	0.0001
0.188415	2	0.0002
0.189033	1	0.0001
0.189445	3	0.0003
0.189652	1	0.0001
0.190064	1	0.0001
0.19027	1	0.0001
0.190476	2	0.0002
0.190682	5	0.0005
0.190888	4	0.0004
0.191095	4	0.0004
0.191301	3	0.0003
0.191507	3	0.0003
0.191919	1	0.0001
0.192125	1	0.0001
0.192331	1	0.0001
0.192538	1	0.0001
0.199546	5	0.0005
0.201608	2	0.0002
0.203463	1	0.0001
0.204906	2	0.0002
0.205112	1	0.0001
0.206349	2	0.0002
0.206555	2	0.0002
0.206761	1	0.0001
0.207586	2	0.0002
0.207998	1	0.0001
0.208204	1	0.0001
0.208617	1	0.0001
0.208823	2	0.0002
0.209029	1	0.0001
0.209235	1	0.0001
0.209441	1	0.0001
0.209647	1	0.0001
0.209854	2	0.0002
0.21006	3	0.0003
0.210266	2	0.0002
0.210678	2	0.0002
0.217481	4	0.0004
0.219542	3	0.0003
0.221398	2	0.0002
0.222841	1	0.0001
0.223047	1	0.0001
0.223871	1	0.0001
0.224284	2	0.0002
0.224902	1	0.0001
0.225314	1	0.0001
0.225521	4	0.0004
0.225933	1	0.0001
0.226139	1	0.0001
0.226551	5	0.0005
0.226964	3	0.0003
0.22717	1	0.0001
0.227376	3	0.0003
0.227582	2	0.0002
0.227788	1	0.0001
0.227994	2	0.0002
0.230468	3	0.0003
0.232942	1	0.0001
0.235003	1	0.0001
0.236652	1	0.0001
0.237065	1	0.0001
0.238508	1	0.0001
0.23892	1	0.0001
0.240981	1	0.0001
0.241394	1	0.0001
0.2416	1	0.0001
0.242012	2	0.0002
0.242218	2	0.0002
0.24263	1	0.0001
0.242837	1	0.0001
0.243043	2	0.0002
0.243249	2	0.0002
0.243455	1	0.0001
0.243661	1	0.0001
0.243867	1	0.0001
0.244486	1	0.0001
0.245104	1	0.0001
0.24799	2	0.0002
0.250464	2	0.0002
0.252731	2	0.0002
0.254174	1	0.0001
0.255205	1	0.0001
0.256442	1	0.0001
0.257473	1	0.0001
0.257679	1	0.0001
0.25871	1	0.0001
0.259122	1	0.0001
0.259534	1	0.0001
0.25974	2	0.0002
0.259946	1	0.0001
0.260359	1	0.0001
0.260977	1	0.0001
0.261596	1	0.0001
0.26242	1	0.0001
0.262626	2	0.0002
0.263039	1	0.0001
0.263245	1	0.0001
0.263451	1	0.0001
0.2651	1	0.0001
0.271903	1	0.0001
0.272109	1	0.0001
0.273758	2	0.0002
0.274789	1	0.0001
0.274995	1	0.0001
0.275201	1	0.0001
0.275613	1	0.0001
0.277056	1	0.0001
0.277469	2	0.0002
0.278087	1	0.0001
0.279324	1	0.0001
0.27953	1	0.0001
0.279736	1	0.0001
0.284684	1	0.0001
0.286127	1	0.0001
0.286951	1	0.0001
0.287157	1	0.0001
0.288806	3	0.0003
0.289425	1	0.0001
0.289631	1	0.0001
0.289837	1	0.0001
0.291074	1	0.0001
0.292105	1	0.0001
0.293548	1	0.0001
0.293754	1	0.0001
0.294166	2	0.0002
0.294372	1	0.0001
0.295403	1	0.0001
0.295815	2	0.0002
0.29664	5	0.0005
0.297052	1	0.0001
0.297258	1	0.0001
0.298701	1	0.0001
0.300557	2	0.0002
0.301175	1	0.0001
0.301381	1	0.0001
0.302618	1	0.0001
0.303236	1	0.0001
0.304886	1	0.0001
0.307565	1	0.0001
0.307772	1	0.0001
0.309215	1	0.0001
0.309833	1	0.0001
0.312101	1	0.0001
0.312307	1	0.0001
0.312719	1	0.0001
0.313131	1	0.0001
0.313337	2	0.0002
0.315399	1	0.0001
0.317048	2	0.0002
0.319934	1	0.0001
0.321377	1	0.0001
0.323645	1	0.0001
0.325088	1	0.0001
0.325706	1	0.0001
0.326324	1	0.0001
0.328798	1	0.0001
0.32921	1	0.0001
0.329417	1	0.0001
0.330035	1	0.0001
0.330241	1	0.0001
0.335395	1	0.0001
0.336632	2	0.0002
0.34261	1	0.0001
0.349206	1	0.0001
0.351268	1	0.0001
0.352298	1	0.0001
0.353535	1	0.0001
0.354772	1	0.0001
0.354978	1	0.0001
0.355597	1	0.0001
0.356215	1	0.0001
0.356421	1	0.0001
0.356834	1	0.0001
0.357658	1	0.0001
0.360132	1	0.0001
0.360338	2	0.0002
0.36075	1	0.0001
0.361369	1	0.0001
0.361781	1	0.0001
0.362193	1	0.0001
0.3624	1	0.0001
0.367553	2	0.0002
0.368172	1	0.0001
0.368996	1	0.0001
0.369202	2	0.0002
0.370233	1	0.0001
0.371058	1	0.0001
0.378891	1	0.0001
0.379716	1	0.0001
0.380334	1	0.0001
0.383632	1	0.0001
0.384457	1	0.0001
0.384663	1	0.0001
0.3859	1	0.0001
0.386312	1	0.0001
0.386518	1	0.0001
0.38858	1	0.0001
0.389817	1	0.0001
0.390847	1	0.0001
0.391466	1	0.0001
0.39229	1	0.0001
0.392496	1	0.0001
0.393115	1	0.0001
0.395382	1	0.0001
0.395589	1	0.0001
0.396001	1	0.0001
0.396413	1	0.0001
0.396619	1	0.0001
0.401979	1	0.0001
0.404453	1	0.0001
0.404659	1	0.0001
0.404865	1	0.0001
0.405896	2	0.0002
0.407133	1	0.0001
0.407339	1	0.0001
0.408369	2	0.0002
0.409812	2	0.0002
0.410019	1	0.0001
0.410225	1	0.0001
0.410843	1	0.0001
0.411049	1	0.0001
0.412492	1	0.0001
0.413111	1	0.0001
0.414348	1	0.0001
0.414554	2	0.0002
0.415997	1	0.0001
0.41847	1	0.0001
0.419501	1	0.0001
0.421769	1	0.0001
0.42383	1	0.0001
0.426922	1	0.0001
0.435168	2	0.0002
0.435374	1	0.0001
0.436405	1	0.0001
0.437229	1	0.0001
0.437642	1	0.0001
0.439703	1	0.0001
0.440115	1	0.0001
0.442177	1	0.0001
0.444032	1	0.0001
0.444651	1	0.0001
0.445475	1	0.0001
0.449598	1	0.0001
0.450216	1	0.0001
0.45269	1	0.0001
0.458668	1	0.0001
0.459081	1	0.0001
0.459493	1	0.0001
0.461967	1	0.0001
0.46341	1	0.0001
0.463616	1	0.0001
0.465883	1	0.0001
0.46712	1	0.0001
0.470212	1	0.0001
0.47248	1	0.0001
0.473923	2	0.0002
0.483818	2	0.0002
0.489384	1	0.0001
0.489796	1	0.0001
0.490827	1	0.0001
0.491033	1	0.0001
0.492063	1	0.0001
0.493506	1	0.0001
0.494331	1	0.0001
0.494537	1	0.0001
0.495362	1	0.0001
0.500515	1	0.0001
0.501134	1	0.0001
0.50402	1	0.0001
0.504638	1	0.0001
0.505051	1	0.0001
0.506906	1	0.0001
0.509998	1	0.0001
0.515976	1	0.0001
0.51845	1	0.0001
0.518656	2	0.0002
0.519068	1	0.0001
0.519481	1	0.0001
0.519893	1	0.0001
0.520717	1	0.0001
0.52113	1	0.0001
0.524428	1	0.0001
0.525459	2	0.0002
0.527314	1	0.0001
0.529375	1	0.0001
0.529788	1	0.0001
0.530818	1	0.0001
0.536178	1	0.0001
0.538033	1	0.0001
0.538652	1	0.0001
0.539476	1	0.0001
0.540301	1	0.0001
0.540713	1	0.0001
0.540919	1	0.0001
0.543187	1	0.0001
0.545867	1	0.0001
0.54731	1	0.0001
0.548959	1	0.0001
0.549577	1	0.0001
0.554319	1	0.0001
0.554937	1	0.0001
0.555143	1	0.0001
0.556586	1	0.0001
0.559472	1	0.0001
0.559885	1	0.0001
0.563389	1	0.0001
0.565863	1	0.0001
0.567512	1	0.0001
0.567718	1	0.0001
0.567924	1	0.0001
0.568955	1	0.0001
0.569573	1	0.0001
0.569779	1	0.0001
0.569986	1	0.0001
0.570398	1	0.0001
0.57349	1	0.0001
0.574933	1	0.0001
0.578231	1	0.0001
0.578437	1	0.0001
0.581736	1	0.0001
0.583179	1	0.0001
0.583797	1	0.0001
0.584622	1	0.0001
0.58524	1	0.0001
0.586271	1	0.0001
0.58792	1	0.0001
0.590188	1	0.0001
0.596372	1	0.0001
0.596578	1	0.0001
0.599052	1	0.0001
0.600907	1	0.0001
0.602762	1	0.0001
0.602968	1	0.0001
0.603793	1	0.0001
0.606885	1	0.0001
0.610802	1	0.0001
0.61142	1	0.0001
0.615337	1	0.0001
0.618223	1	0.0001
0.618635	1	0.0001
0.620078	1	0.0001
0.627293	1	0.0001
0.627706	1	0.0001
0.630592	1	0.0001
0.631416	1	0.0001
0.632653	2	0.0002
0.633065	1	0.0001
0.634508	2	0.0002
0.635539	1	0.0001
0.644609	1	0.0001
0.649145	1	0.0001
0.651618	1	0.0001
0.654092	1	0.0001
0.655741	1	0.0001
0.661719	1	0.0001
0.666254	1	0.0001
0.667079	1	0.0001
0.667285	1	0.0001
0.670377	1	0.0001
0.670583	1	0.0001
0.671408	1	0.0001
