# dynamic_c=1_k=2_n=250_b=-0.02_p=0.9
#
# N1	aoic	stdev
0	-0.588699	0.825387
3	-0.410758	0.914298
6	-0.125328	0.979939
9	0.127605	0.974068
12	0.396673	0.90217
15	0.613544	0.782214
18	0.808208	0.602329
21	0.921732	0.43667
24	0.991932	0.279419
27	1.01335	0.218233
30	1.03781	0.111446
33	1.046	0.0774777
36	1.05232	0.0538143
39	1.0585	0.00056658
42	1.06302	0.000572302
45	1.06744	0.000570288
48	1.07187	0.00057594
51	1.07632	0.000589012
54	1.08066	0.000607173
57	1.08509	0.000594778
60	1.08946	0.000593772
63	1.09374	0.000592605
66	1.09808	0.000585538
69	1.10236	0.000604764
72	1.10665	0.000593941
75	1.11088	0.000587435
78	1.11511	0.000615678
81	1.11937	0.000618191
84	1.12353	0.000591758
87	1.12769	0.000598342
90	1.13183	0.00061228
93	1.13596	0.000622351
96	1.14012	0.000592225
99	1.14423	0.000614463
102	1.14829	0.000576298
105	1.15231	0.000579212
108	1.15643	0.000591212
111	1.16044	0.000571968
114	1.16445	0.000569701
117	1.16845	0.000562526
120	1.17243	0.000553882
123	1.17643	0.000567068
126	1.18035	0.000561436
129	1.1843	0.000553513
132	1.18821	0.000560619
135	1.19209	0.000567648
138	1.19601	0.000556599
141	1.19988	0.00054733
144	1.20374	0.000528876
147	1.20756	0.000543784
150	1.21144	0.000519013
