# dynamic_c=1_k=2_n=250_b=-0.02_p=0.1
#
# N1	aoic	stdev
0	-0.610529	0.401084
3	-0.417054	0.426835
6	-0.204892	0.419184
9	-0.02107	0.39824
12	0.144423	0.366988
15	0.31696	0.35608
18	0.469783	0.313748
21	0.591881	0.299897
24	0.695991	0.26013
27	0.804284	0.210422
30	0.886132	0.169958
33	0.933319	0.133187
36	0.968632	0.107843
39	1.00095	0.078917
42	1.02106	0.0677326
45	1.03882	0.050108
48	1.05226	0.0360375
51	1.06334	0.0302757
54	1.07089	0.0242236
57	1.07831	0.019082
60	1.08498	0.0149518
63	1.09068	0.0110696
66	1.09589	0.0100385
69	1.10055	0.00997473
72	1.10518	0.00862794
75	1.10998	0.0055324
78	1.11439	0.00468775
81	1.11865	0.00412096
84	1.123	0.00368899
87	1.12745	0.00245005
90	1.13157	0.00211651
93	1.13566	0.00228054
96	1.1399	0.00140808
99	1.14395	0.00207773
102	1.14809	0.000600665
105	1.15209	0.00197269
108	1.15621	0.00101203
111	1.16026	0.000624989
114	1.1643	0.000597382
117	1.16832	0.000635259
120	1.17231	0.000613533
123	1.17629	0.000581522
126	1.1803	0.000589327
129	1.18422	0.000588281
132	1.18816	0.000581633
135	1.19212	0.00059476
138	1.19601	0.00060633
141	1.1999	0.000573248
144	1.20384	0.000560491
147	1.20766	0.000553308
150	1.21151	0.000526122
