# static_c=1_k=2_n=250_b=-0.04_p=0.7
#
# N1	aoic	stdev
0	-0.912344	0.442692
3	-0.791009	0.600539
6	-0.65158	0.72255
9	-0.389231	0.866895
12	-0.132296	0.924046
15	0.193116	0.904962
18	0.468265	0.800127
21	0.692979	0.644406
24	0.8414	0.481094
27	0.908173	0.396421
30	0.974759	0.234171
33	1.00244	0.170992
36	1.01906	0.104159
39	1.03359	0.0229767
42	1.03874	0.0147519
45	1.04198	0.0417884
48	1.04822	0.0145994
51	1.05169	0.0155916
54	1.0575	0.0131168
57	1.06266	0.0115123
60	1.06747	0.00982244
63	1.07193	0.00987986
66	1.07596	0.0105583
69	1.08073	0.00994541
72	1.08589	0.00674941
75	1.0896	0.00880825
78	1.09452	0.00664331
81	1.09854	0.00747721
84	1.10303	0.00694008
87	1.10757	0.00499169
90	1.11171	0.00627066
93	1.11593	0.00516912
96	1.11996	0.0057177
99	1.1242	0.00590915
102	1.12853	0.00460084
105	1.13267	0.00524212
108	1.13692	0.00401294
111	1.14087	0.0041067
114	1.14484	0.00468313
117	1.14919	0.00341475
120	1.15312	0.00351656
123	1.15721	0.00365418
126	1.16137	0.00314308
129	1.16529	0.00277013
132	1.16935	0.00245125
135	1.17318	0.00288049
138	1.17705	0.00269949
141	1.18104	0.00213366
144	1.18497	0.00234359
147	1.18882	0.00228265
150	1.19282	0.00207363
