# static_c=1_k=2_n=250_b=0_p=0.5
#
# N1	aoic	stdev
0	0.0532337	0.907856
3	0.313729	0.834734
6	0.554043	0.689362
9	0.690054	0.585123
12	0.831272	0.4217
15	0.917186	0.277743
18	0.955282	0.195806
21	0.991519	0.0927015
24	0.999288	0.0996733
27	1.01126	0.0728005
30	1.0204	0.0507362
33	1.02862	0.0351319
36	1.03748	0.0316925
39	1.04021	0.0324325
42	1.04854	0.0275269
45	1.05378	0.0255734
48	1.05814	0.0266409
51	1.06471	0.0216964
54	1.06822	0.0223622
57	1.07494	0.0198737
60	1.07997	0.0182361
63	1.08377	0.0190165
66	1.0896	0.0159767
69	1.09445	0.0150135
72	1.09858	0.0151325
75	1.10454	0.011824
78	1.10845	0.0121901
81	1.11285	0.0115946
84	1.11691	0.0112572
87	1.12175	0.00959976
90	1.12595	0.0105116
93	1.13016	0.00848453
96	1.13433	0.00832242
99	1.13855	0.00815573
102	1.14253	0.00755695
105	1.1467	0.00694101
108	1.1507	0.00722447
111	1.15499	0.0052772
114	1.15906	0.00491158
117	1.16286	0.00519304
120	1.16697	0.00443563
123	1.1709	0.00394737
126	1.17459	0.00544663
129	1.17868	0.00390379
132	1.18245	0.00372292
135	1.18634	0.00319694
138	1.19031	0.00314725
141	1.19415	0.00188919
144	1.19793	0.00251584
147	1.20168	0.00298417
150	1.2054	0.00237802
