# dynamic_c=1_k=2_n=250_b=-0.02_p=0
#
# N1	aoic	stdev
0	-0.184271	0.161531
3	-0.113897	0.158797
6	-0.031558	0.15243
9	0.0400254	0.145276
12	0.0987475	0.145763
15	0.163362	0.13593
18	0.233055	0.132636
21	0.284253	0.128838
24	0.344898	0.129797
27	0.40425	0.124031
30	0.446189	0.117127
33	0.501735	0.118022
36	0.540231	0.113303
39	0.583192	0.108329
42	0.627439	0.10933
45	0.662996	0.104627
48	0.704418	0.0972859
51	0.73624	0.0997177
54	0.768502	0.0905656
57	0.797021	0.0903291
60	0.828705	0.0852853
63	0.857435	0.0845576
66	0.880151	0.079567
69	0.906711	0.0773445
72	0.920711	0.075883
75	0.953535	0.0688606
78	0.971034	0.0663149
81	0.991467	0.0645511
84	1.0048	0.0623882
87	1.02019	0.0589801
90	1.03501	0.0563943
93	1.04761	0.0537167
96	1.06306	0.0497097
99	1.07295	0.048894
102	1.08754	0.0443052
105	1.09884	0.0422885
108	1.10954	0.0403468
111	1.11977	0.0373917
114	1.12722	0.0351554
117	1.13685	0.0312496
120	1.14452	0.0321021
123	1.15239	0.0285074
126	1.15847	0.0273339
129	1.16575	0.0256702
132	1.17111	0.0244661
135	1.17883	0.0210182
138	1.18382	0.0201913
141	1.1902	0.0184382
144	1.19515	0.0173258
147	1.20006	0.0160348
150	1.20518	0.0142984
