# dynamic_c=1_k=2_n=250_b=-0.08_p=0.7
#
# N1	aoic	stdev
0	-1.04485	0.0635958
3	-1.03445	0.0634521
6	-1.01893	0.109463
9	-0.994086	0.188306
12	-0.951684	0.297401
15	-0.893678	0.404484
18	-0.761754	0.549749
21	-0.570268	0.693444
24	-0.432448	0.766241
27	-0.122605	0.880052
30	0.177763	0.891924
33	0.409142	0.837281
36	0.616485	0.734197
39	0.835559	0.540897
42	0.955627	0.355002
45	1.00588	0.233778
48	1.03049	0.150579
51	1.04798	0.0488054
54	1.05272	0.0479307
57	1.05891	0.000594241
60	1.06345	0.000642185
63	1.06812	0.000659675
66	1.07266	0.000635813
69	1.07722	0.000640047
72	1.08179	0.000647614
75	1.08631	0.000658139
78	1.09075	0.000647649
81	1.0952	0.000655793
84	1.09966	0.000628359
87	1.10408	0.000657867
90	1.10849	0.000635105
93	1.11285	0.00066456
96	1.11716	0.00061931
99	1.12155	0.000622647
102	1.1258	0.000657044
105	1.13012	0.000627881
108	1.13438	0.000599836
111	1.13863	0.000615968
114	1.14287	0.000623753
117	1.14705	0.00059756
120	1.15123	0.000585765
123	1.1554	0.000586482
126	1.15956	0.00059559
129	1.16373	0.000572922
132	1.16782	0.000597563
135	1.17196	0.000563329
138	1.17602	0.000563569
141	1.18012	0.00055143
144	1.18409	0.000560597
147	1.18814	0.000534468
150	1.19216	0.000551376
