# static_c=1_k=2_n=250_b=-0.02_p=0.5
#
# N1	aoic	stdev
0	-0.58732	0.724349
3	-0.408896	0.781474
6	-0.0973385	0.827074
9	0.161597	0.798217
12	0.481013	0.676855
15	0.642258	0.563096
18	0.753096	0.452484
21	0.857792	0.319889
24	0.915664	0.237736
27	0.95457	0.159625
30	0.975198	0.108877
33	0.995871	0.0606721
36	1.00133	0.0715004
39	1.01333	0.0539806
42	1.02396	0.0412251
45	1.03081	0.0404462
48	1.03971	0.0346851
51	1.04539	0.0353631
54	1.05149	0.0318737
57	1.05917	0.0275116
60	1.06419	0.0272298
63	1.07038	0.0272687
66	1.07655	0.0220398
69	1.08158	0.0226407
72	1.08674	0.0203716
75	1.09226	0.0200298
78	1.0962	0.0194541
81	1.10269	0.0154429
84	1.10733	0.0149843
87	1.11123	0.0153193
90	1.11681	0.0128417
93	1.12076	0.0130951
96	1.12485	0.013092
99	1.13012	0.0108158
102	1.13407	0.0104601
105	1.1388	0.00867679
108	1.14305	0.00797662
111	1.14689	0.00832294
114	1.15121	0.00773926
117	1.15551	0.00655143
120	1.1597	0.00559033
123	1.16366	0.00584594
126	1.16779	0.00547511
129	1.17153	0.005266
132	1.17591	0.00361638
135	1.17984	0.00328371
138	1.18356	0.00450035
141	1.18751	0.00311103
144	1.19146	0.00309992
147	1.19512	0.00342831
150	1.19905	0.00305838
