# static_c=1_k=2_n=250_b=-0.04_p=0
#
# N1	aoic	stdev
0	-0.522424	0.156095
3	-0.414658	0.147749
6	-0.333794	0.145405
9	-0.252478	0.146587
12	-0.16237	0.14506
15	-0.0865074	0.130277
18	-0.0154626	0.131145
21	0.0509336	0.128859
24	0.127987	0.127396
27	0.191015	0.126841
30	0.249485	0.123701
33	0.311955	0.122222
36	0.359926	0.110377
39	0.414542	0.112297
42	0.463436	0.10521
45	0.511288	0.104234
48	0.549114	0.100136
51	0.598124	0.103175
54	0.633123	0.101796
57	0.671547	0.0949305
60	0.710226	0.0909088
63	0.740668	0.0920507
66	0.773318	0.0815069
69	0.802706	0.0786055
72	0.828012	0.0775578
75	0.854813	0.0764543
78	0.880967	0.0702563
81	0.904085	0.0742128
84	0.926801	0.0650999
87	0.94742	0.0649633
90	0.968354	0.0608327
93	0.979767	0.06196
96	1.00358	0.0556796
99	1.01449	0.054148
102	1.02923	0.0530231
105	1.0464	0.0491936
108	1.06097	0.0446074
111	1.07023	0.0451387
114	1.08417	0.0405391
117	1.09708	0.0391414
120	1.10541	0.0360755
123	1.11538	0.0345709
126	1.1259	0.0317103
129	1.13357	0.030265
132	1.1421	0.0274229
135	1.14952	0.0258972
138	1.15591	0.0256979
141	1.16405	0.0230097
144	1.17141	0.0194271
147	1.17622	0.0191377
150	1.1818	0.018009
