# static_c=1_k=2_n=250_b=0_p=0.7
#
# N1	aoic	stdev
0	-0.00311708	0.992856
3	0.23932	0.951328
6	0.570268	0.801109
9	0.732439	0.664261
12	0.860343	0.501571
15	0.928331	0.381014
18	0.983201	0.249254
21	1.02018	0.11306
24	1.02913	0.0683141
27	1.03708	0.0101109
30	1.04193	0.00935825
33	1.04664	0.00817244
36	1.05111	0.00684455
39	1.05505	0.00888214
42	1.05976	0.00769869
45	1.06366	0.00882773
48	1.06838	0.00740077
51	1.07239	0.00789618
54	1.07749	0.00511995
57	1.08171	0.00516765
60	1.08575	0.005409
63	1.09028	0.00458833
66	1.09438	0.00497122
69	1.09854	0.00584542
72	1.10268	0.00508117
75	1.10701	0.00316604
78	1.11105	0.00364946
81	1.11529	0.00356527
84	1.11934	0.00296822
87	1.12343	0.0032696
90	1.12735	0.00324808
93	1.13133	0.00387502
96	1.13555	0.00265115
99	1.13963	0.00268431
102	1.14338	0.00343153
105	1.1475	0.00290158
108	1.15153	0.00222237
111	1.15536	0.00222761
114	1.15926	0.00264468
117	1.1632	0.00269414
120	1.16717	0.00257313
123	1.17091	0.00295975
126	1.17479	0.00213249
129	1.17886	0.00210817
132	1.18254	0.00212408
135	1.18639	0.00204964
138	1.19017	0.00198119
141	1.19398	0.00234653
144	1.19785	0.00200116
147	1.20162	0.00193483
150	1.20532	0.00193389
