# btc	count	prob
0	902	0.0902
6.87144e-005	1	0.0001
0.000103072	9	0.0009
0.000137429	2	0.0002
0.0001443	2	0.0002
0.000154607	2	0.0002
0.000161479	1	0.0001
0.000171786	4	0.0004
0.000186101	1	0.0001
0.000188964	1	0.0001
0.000189205	1	0.0001
0.000194691	1	0.0001
0.000206143	1	0.0001
0.000206143	17	0.0017
0.000216294	1	0.0001
0.000216294	1	0.0001
0.000218413	1	0.0001
0.000223322	1	0.0001
0.000226757	1	0.0001
0.000230193	1	0.0001
0.0002405	4	0.0004
0.0002405	1	0.0001
0.000242464	1	0.0001
0.000245654	1	0.0001
0.000247372	1	0.0001
0.000250651	1	0.0001
0.000252771	1	0.0001
0.000257679	1	0.0001
0.00025817	1	0.0001
0.00026455	3	0.0003
0.000274857	5	0.0005
0.000281729	1	0.0001
0.000292036	3	0.0003
0.000292036	3	0.0003
0.000297435	1	0.0001
0.000298907	1	0.0001
0.000302589	1	0.0001
0.000304306	1	0.0001
0.000305779	1	0.0001
0.000309215	1	0.0001
0.000309215	7	0.0007
0.000314941	1	0.0001
0.000325092	1	0.0001
0.000326393	1	0.0001
0.000326393	3	0.0003
0.000326482	1	0.0001
0.000330402	1	0.0001
0.000333265	2	0.0002
0.000333265	2	0.0002
0.000336946	1	0.0001
0.000338664	1	0.0001
0.000338664	1	0.0001
0.000340627	1	0.0001
0.000341854	1	0.0001
0.000343572	2	0.0002
0.000345133	1	0.0001
0.000350443	2	0.0002
0.000350443	2	0.0002
0.00036075	5	0.0005
0.000361719	1	0.0001
0.000362292	1	0.0001
0.000362714	1	0.0001
0.000362714	1	0.0001
0.000365495	1	0.0001
0.000367622	1	0.0001
0.000367622	1	0.0001
0.000371058	1	0.0001
0.000376211	1	0.0001
0.000377929	1	0.0001
0.000377929	5	0.0005
0.000381855	1	0.0001
0.000383083	1	0.0001
0.000383593	1	0.0001
0.000388727	1	0.0001
0.000389205	1	0.0001
0.000390199	1	0.0001
0.000390527	1	0.0001
0.000392163	1	0.0001
0.000393234	1	0.0001
0.000395108	2	0.0002
0.000400507	1	0.0001
0.000403697	1	0.0001
0.000407378	1	0.0001
0.00041121	1	0.0001
