# dynamic_c=1_k=2_n=250_b=-0.02_p=0.3
#
# N1	aoic	stdev
0	-0.692048	0.729125
3	-0.455349	0.86583
6	-0.197589	0.94232
9	0.125465	0.942768
12	0.443356	0.844252
15	0.67161	0.695221
18	0.81186	0.557325
21	0.943681	0.362194
24	1.018	0.166314
27	1.03431	0.097837
30	1.04383	0.0474131
33	1.05	0.000438824
36	1.05449	0.000429458
39	1.05897	0.000453754
42	1.06341	0.000474804
45	1.06784	0.000487208
48	1.07226	0.000488845
51	1.07662	0.000508531
54	1.08103	0.000521696
57	1.08537	0.000525683
60	1.0897	0.000528585
63	1.094	0.000529579
66	1.09826	0.000572726
69	1.10257	0.000568823
72	1.10683	0.000554455
75	1.11107	0.000554056
78	1.11527	0.000566406
81	1.1195	0.00059013
84	1.12368	0.000553697
87	1.1278	0.000573333
90	1.13198	0.000605898
93	1.13612	0.000586392
96	1.14026	0.000578266
99	1.14435	0.000591295
102	1.14845	0.00057524
105	1.1525	0.000595855
108	1.15651	0.000567217
111	1.16056	0.000584828
114	1.1646	0.000558037
117	1.16864	0.000564365
120	1.17256	0.000587351
123	1.17654	0.000566671
126	1.18054	0.000569288
129	1.18445	0.000555591
132	1.18838	0.000556484
135	1.19232	0.000546318
138	1.19621	0.000556149
141	1.20013	0.000545031
144	1.20397	0.000552506
147	1.20783	0.000527663
150	1.21167	0.000545975
