# dynamic_c=1_k=2_n=250_b=-0.06_p=0
#
# N1	aoic	stdev
0	-0.823975	0.11531
3	-0.731275	0.11343
6	-0.630458	0.115374
9	-0.534298	0.117213
12	-0.44778	0.114899
15	-0.358752	0.120293
18	-0.275679	0.118087
21	-0.196929	0.1202
24	-0.116221	0.120369
27	-0.0422421	0.1205
30	0.0284162	0.123219
33	0.0934319	0.117215
36	0.159455	0.113409
39	0.219161	0.111803
42	0.284065	0.112582
45	0.340026	0.108835
48	0.392671	0.112671
51	0.449866	0.108251
54	0.499791	0.103844
57	0.540963	0.101085
60	0.583064	0.0962099
63	0.628554	0.094697
66	0.669135	0.0955918
69	0.70679	0.090055
72	0.73671	0.0895295
75	0.771182	0.0874983
78	0.807143	0.0864992
81	0.834492	0.0819411
84	0.862825	0.0773348
87	0.892383	0.0756012
90	0.913991	0.0730229
93	0.936796	0.0711553
96	0.958432	0.0676262
99	0.980322	0.063679
102	0.996703	0.0634419
105	1.01464	0.0568899
108	1.0313	0.0551288
111	1.04891	0.0513011
114	1.06077	0.050787
117	1.07468	0.0468734
120	1.08718	0.0463652
123	1.09906	0.0422743
126	1.11166	0.0403058
129	1.12107	0.0372174
132	1.13099	0.0354235
135	1.14119	0.0330735
138	1.14968	0.0298317
141	1.15948	0.028612
144	1.16518	0.0275559
147	1.173	0.0255567
150	1.18035	0.0235177
