# static_c=1_k=2_n=250_b=-0.06_p=0
#
# N1	aoic	stdev
0	-0.816047	0.112438
3	-0.717855	0.113831
6	-0.621449	0.120537
9	-0.531972	0.114385
12	-0.437557	0.115995
15	-0.357803	0.117547
18	-0.27871	0.116925
21	-0.204869	0.116971
24	-0.118999	0.118556
27	-0.0445453	0.114316
30	0.0269256	0.116174
33	0.0953805	0.111794
36	0.158748	0.116156
39	0.220153	0.1169
42	0.284299	0.110654
45	0.335309	0.111456
48	0.390354	0.109081
51	0.442135	0.104257
54	0.492391	0.10656
57	0.53777	0.102414
60	0.583879	0.100757
63	0.619162	0.0925555
66	0.660315	0.0937945
69	0.691555	0.0908325
72	0.725208	0.0902901
75	0.770264	0.0851181
78	0.798406	0.0830064
81	0.827795	0.0791426
84	0.856435	0.0782044
87	0.881114	0.0721266
90	0.908106	0.0713081
93	0.925013	0.0677753
96	0.949241	0.0635555
99	0.970338	0.0634769
102	0.984413	0.0596441
105	1.00573	0.0582102
108	1.01953	0.0549877
111	1.03744	0.0525302
114	1.04927	0.0500298
117	1.06433	0.0469244
120	1.07702	0.0449858
123	1.08799	0.0424562
126	1.09977	0.0387556
129	1.1105	0.0366976
132	1.12049	0.0360355
135	1.12917	0.0317318
138	1.13839	0.0305882
141	1.14646	0.0290504
144	1.15504	0.0258168
147	1.16193	0.0248678
150	1.16988	0.0219929
