# static_c=1_k=2_n=250_b=-0.08_p=0.3
#
# N1	aoic	stdev
0	-1.03323	0.0171933
3	-0.989302	0.0413585
6	-0.938005	0.0654606
9	-0.869381	0.121175
12	-0.791585	0.146236
15	-0.698563	0.182192
18	-0.583517	0.229489
21	-0.432314	0.267478
24	-0.303029	0.307152
27	-0.147517	0.325974
30	-0.0128961	0.325725
33	0.121544	0.312564
36	0.237452	0.298006
39	0.344996	0.271952
42	0.448587	0.262586
45	0.53746	0.229481
48	0.607724	0.205754
51	0.660787	0.192548
54	0.720314	0.169874
57	0.765094	0.155486
60	0.805795	0.141505
63	0.844246	0.131363
66	0.873269	0.114544
69	0.893175	0.102119
72	0.923301	0.0930173
75	0.943906	0.087433
78	0.964023	0.0780236
81	0.979479	0.0763478
84	0.996348	0.0729139
87	1.00747	0.0664252
90	1.0249	0.0603017
93	1.03774	0.0558373
96	1.04489	0.0550877
99	1.05758	0.0472504
102	1.07114	0.0434832
105	1.07766	0.0427543
108	1.08833	0.0376194
111	1.09617	0.036973
114	1.10389	0.0360367
117	1.11158	0.0300207
120	1.11834	0.0292044
123	1.12412	0.0284082
126	1.1337	0.0232611
129	1.13773	0.0236391
132	1.14323	0.022333
135	1.14932	0.0205641
138	1.15614	0.017409
141	1.16089	0.0163572
144	1.16483	0.0163578
147	1.17004	0.0141503
150	1.17429	0.0149777
