# static_c=1_k=2_n=250_b=0_p=0.1
#
# N1	aoic	stdev
0	-0.000857668	0.248391
3	0.0878402	0.240573
6	0.187407	0.226534
9	0.273735	0.21647
12	0.346149	0.203651
15	0.414862	0.193028
18	0.478368	0.174627
21	0.526177	0.172987
24	0.586395	0.155067
27	0.630729	0.144248
30	0.679828	0.135075
33	0.718499	0.125112
36	0.744217	0.122892
39	0.779941	0.116494
42	0.815953	0.105409
45	0.844875	0.103123
48	0.869141	0.0970695
51	0.891005	0.0910287
54	0.915228	0.0827586
57	0.935191	0.079459
60	0.953029	0.0761553
63	0.971357	0.0732607
66	0.989227	0.0666723
69	1.00669	0.0610389
72	1.01814	0.0591745
75	1.03071	0.0547201
78	1.03964	0.0522514
81	1.05448	0.0479401
84	1.06595	0.0464139
87	1.07347	0.043307
90	1.08549	0.040847
93	1.09469	0.0359134
96	1.10264	0.0347147
99	1.11083	0.0327674
102	1.11493	0.0322919
105	1.12477	0.0291238
108	1.13261	0.0274926
111	1.13926	0.0248762
114	1.14374	0.0249122
117	1.1503	0.0222167
120	1.15646	0.0203884
123	1.16216	0.018262
126	1.16675	0.0181092
129	1.17198	0.0159433
132	1.17796	0.0131775
135	1.18208	0.0129058
138	1.18633	0.0122091
141	1.19103	0.0112138
144	1.19488	0.010512
147	1.19941	0.00895092
150	1.20352	0.00889637
