# static_c=1_k=2_n=250_b=0_p=0
#
# N1	aoic	stdev
0	-0.00306029	0.164972
3	0.0766262	0.162005
6	0.137717	0.153548
9	0.196347	0.142549
12	0.267607	0.144719
15	0.317844	0.141945
18	0.368598	0.14075
21	0.42425	0.126978
24	0.476393	0.127249
27	0.518489	0.122947
30	0.559328	0.121373
33	0.597407	0.116479
36	0.650635	0.111267
39	0.681028	0.107124
42	0.715656	0.097049
45	0.743862	0.0983932
48	0.776456	0.0938422
51	0.806264	0.0912413
54	0.836587	0.0868061
57	0.860009	0.0874359
60	0.881906	0.0785111
63	0.905146	0.0771561
66	0.925708	0.0722491
69	0.947489	0.0715137
72	0.968368	0.0679564
75	0.984559	0.062627
78	0.999781	0.0603704
81	1.0171	0.0589978
84	1.02999	0.0555185
87	1.04	0.0532483
90	1.05368	0.0513797
93	1.07064	0.0433559
96	1.0835	0.0428956
99	1.09051	0.041449
102	1.10227	0.0383971
105	1.10826	0.0365609
108	1.11828	0.0345319
111	1.12598	0.0317651
114	1.13349	0.0315309
117	1.14166	0.0273958
120	1.14723	0.0273818
123	1.15435	0.0248407
126	1.16141	0.0216031
129	1.16665	0.0202948
132	1.17328	0.0180207
135	1.17819	0.0170204
138	1.18295	0.0154216
141	1.18745	0.0150742
144	1.19295	0.0127244
147	1.19803	0.0115382
150	1.20179	0.01126
